id;libelle;description;created_by;created_date;last_modified_by;last_modified_date
1;"Centre Commerical";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
2;"Boutique";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
3;"Boulangerie";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
4;"Patisserie";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
5;"Restaurant";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
6;"Bar";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
7;"Supermarché";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
8;"Marché";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
9;"Hotel";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
10;"Entreprise";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
11;"Cinema";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
12;"Parc d'attractions";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
13;"Banque";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
14;"Autres";;system;"2020-04-04 18:00:00";system;"2020-04-04 18:00:00"
